Customer ID,Age,Gender,Item Purchase,Category,Location,Size,Color,Review Rate,Subscription,Shipping Type,Discount,Payment,Frequency of Purchase
1,57,Female,Phone,Electronics,Lahore,L,Green,2,No,Standard,No,Card,Monthly
2,39,Male,Laptop,Accessories,Karachi,L,Green,5,No,Express,Yes,Cash,Yearly
3,53,Female,Phone,Accessories,Faisalabad,M,Green,3,Yes,Express,No,Card,Weekly
4,51,Female,Phone,Accessories,Islamabad,M,Green,3,Yes,Standard,No,Card,Monthly
5,42,Female,Watch,Electronics,Faisalabad,XL,Black,4,Yes,Express,Yes,Card,Yearly
6,53,Female,Headphones,Accessories,Rawalpindi,S,Black,4,Yes,Express,Yes,Card,Weekly
7,56,Female,Watch,Electronics,Faisalabad,XL,Red,4,Yes,Express,No,Online,Monthly
8,57,Male,Shirt,Clothing,Lahore,L,White,2,No,Express,No,Card,Monthly
9,39,Male,Laptop,Clothing,Islamabad,XL,Red,1,No,Express,Yes,Card,Monthly
10,20,Male,Phone,Clothing,Lahore,L,Green,5,Yes,Standard,Yes,Cash,Weekly
11,37,Male,Watch,Clothing,Rawalpindi,S,Green,2,Yes,Standard,No,Online,Weekly
12,23,Male,Headphones,Electronics,Faisalabad,M,Green,4,No,Standard,No,Cash,Monthly
13,38,Male,Watch,Accessories,Faisalabad,L,White,3,No,Express,No,Card,Yearly
14,46,Female,Shirt,Accessories,Rawalpindi,S,Black,1,No,Express,No,Card,Monthly
15,27,Female,Bag,Accessories,Faisalabad,S,Green,2,Yes,Express,Yes,Cash,Yearly
16,41,Male,Shoes,Clothing,Lahore,L,Blue,3,No,Standard,No,Cash,Yearly
17,38,Female,Laptop,Clothing,Islamabad,M,Red,3,Yes,Standard,No,Online,Monthly
18,20,Male,Bag,Accessories,Islamabad,S,Black,5,Yes,Express,Yes,Online,Yearly
19,26,Male,Headphones,Clothing,Lahore,M,Black,5,No,Express,Yes,Cash,Yearly
20,39,Female,Phone,Clothing,Karachi,XL,Blue,4,No,Standard,Yes,Card,Weekly
21,22,Female,Shirt,Accessories,Rawalpindi,L,Green,2,No,Express,Yes,Online,Weekly
22,53,Male,Shoes,Accessories,Faisalabad,S,White,5,Yes,Express,No,Card,Weekly
23,28,Female,Headphones,Accessories,Islamabad,XL,Black,4,No,Express,No,Cash,Yearly
24,35,Female,Watch,Electronics,Karachi,S,Green,3,Yes,Express,No,Online,Monthly
25,38,Male,Headphones,Clothing,Karachi,M,Blue,4,Yes,Standard,Yes,Cash,Yearly
26,21,Female,Shirt,Accessories,Karachi,S,Blue,3,No,Standard,Yes,Online,Monthly
27,39,Male,Bag,Electronics,Lahore,M,Black,3,No,Standard,Yes,Card,Yearly
28,22,Female,Shoes,Electronics,Islamabad,L,Black,1,Yes,Standard,Yes,Card,Monthly
29,28,Female,Headphones,Clothing,Islamabad,L,Blue,1,Yes,Standard,No,Card,Monthly
30,38,Female,Headphones,Accessories,Faisalabad,S,Green,3,Yes,Express,Yes,Card,Weekly
31,44,Male,Shoes,Clothing,Karachi,M,Black,4,No,Express,No,Card,Weekly
32,29,Male,Headphones,Accessories,Islamabad,S,Red,4,Yes,Express,No,Cash,Monthly
33,46,Female,Bag,Accessories,Rawalpindi,L,Green,5,No,Standard,Yes,Online,Yearly
34,22,Male,Shoes,Clothing,Faisalabad,XL,Green,5,No,Express,No,Card,Yearly
35,50,Female,Bag,Electronics,Rawalpindi,S,White,1,No,Standard,No,Online,Monthly
36,30,Female,Phone,Accessories,Rawalpindi,M,Green,5,No,Standard,Yes,Card,Yearly
37,53,Female,Bag,Accessories,Lahore,XL,Red,4,Yes,Express,No,Cash,Yearly
38,36,Female,Laptop,Clothing,Rawalpindi,M,White,1,No,Express,No,Cash,Monthly
39,56,Male,Phone,Clothing,Faisalabad,M,Green,5,No,Standard,No,Cash,Weekly
40,31,Male,Bag,Electronics,Rawalpindi,L,Black,1,No,Standard,No,Card,Yearly
41,60,Male,Shoes,Accessories,Islamabad,XL,White,3,Yes,Standard,Yes,Cash,Yearly
42,41,Female,Bag,Accessories,Lahore,XL,Black,4,Yes,Express,No,Cash,Monthly
43,57,Male,Shirt,Clothing,Faisalabad,M,Blue,2,Yes,Express,No,Cash,Monthly
